2.302585092994046345e+00,2.565805489113604381e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.503442600884561386e-01,8.917977415300755695e+01,2.500000000000000000e+00,2.812480926513671875e-01,1.000000000000000000e+00
4.319324376412154720e-01,3.099554583928571816e+01,5.400000000000000355e+00,6.259775161743164062e-01,1.000000000000000000e+00
3.348869492774078083e-01,7.929265212878712887e+00,8.900000000000000355e+00,1.018939495086669922e+00,1.000000000000000000e+00
2.902803867055343545e-01,5.247213836129219544e+00,1.720000000000000284e+01,1.808336019515991211e+00,5.000000000000000000e-01
2.703205194374156406e-01,5.200317193251334125e+00,2.380000000000000426e+01,2.543405771255493164e+00,1.000000000000000000e+00
2.556397622401709313e-01,3.541672590982203772e+00,3.430000000000000426e+01,3.433943748474121094e+00,2.500000000000000000e-01
2.484717660763839930e-01,2.708818266120683216e+00,4.550000000000000000e+01,4.387313604354858398e+00,2.500000000000000000e-01
2.436713655050422034e-01,1.718511886758483431e+00,5.739999999999999858e+01,5.458696365356445312e+00,2.500000000000000000e-01
2.413895338435025906e-01,1.371273455242278061e+00,8.209999999999999432e+01,7.605652570724487305e+00,3.125000000000000000e-02
2.365876808252753705e-01,1.103905740256958534e+00,1.025000000000000000e+02,9.591209173202514648e+00,1.250000000000000000e-01
2.334884207934138090e-01,1.071222573433977532e+00,1.301999999999999886e+02,1.219566369056701660e+01,6.250000000000000000e-02
2.315361206833159713e-01,8.644403990941071925e-01,1.548999999999999773e+02,1.443411350250244141e+01,6.250000000000000000e-02
2.308710407208387494e-01,8.604202513163304866e-01,1.872999999999999829e+02,1.733716440200805664e+01,1.562500000000000000e-02
2.297809788043370105e-01,8.260638285972514705e-01,2.173999999999999773e+02,2.015013146400451660e+01,3.125000000000000000e-02
2.288544398145244685e-01,8.060031973367201008e-01,2.472999999999999829e+02,2.291338109970092773e+01,3.125000000000000000e-02
